parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,kʰuyr-yeɣbayr,,,,IE513,sakayan_armenian_2015,
mB,yeɣbayr,,,,IE513,sakayan_armenian_2015,
mZ,kʰuyr,,,,IE513,sakayan_armenian_2015,
myB,kˀ[ə]rtˀser yeɣbayr,,,,IE513,sakayan_armenian_2015,
myB,pʰokʰr yeɣbayr,,,,IE513,sakayan_armenian_2015,
myZ,kˀ[ə]rtˀser kʰuyr,,,,IE513,sakayan_armenian_2015,
myZ,pʰokʰ[ə]r kʰuyr,,,,IE513,sakayan_armenian_2015,
mF,hayr,,,,IE513,sakayan_armenian_2015,
mM,mayr,,,,IE513,sakayan_armenian_2015,
mC,zavakˀ,,,,IE513,sakayan_armenian_2015,
mS,vordi,,,,IE513,sakayan_armenian_2015,
mS,tˀ[ə]ɣa,,,,IE513,sakayan_armenian_2015,
mD,dustˀ[ə]r,,,,IE513,sakayan_armenian_2015,
mD,aɣǰikˀ,,,,IE513,sakayan_armenian_2015,
mFF,pˀapˀ,,,,IE513,sakayan_armenian_2015,
mFF,pˀapˀikˀ,,,,IE513,sakayan_armenian_2015,
mFM,tˀatˀ,,,,IE513,sakayan_armenian_2015,
mFM,tˀatˀikˀ,,,,IE513,sakayan_armenian_2015,
mMF,pˀapˀ,,,,IE513,sakayan_armenian_2015,
mMF,pˀapˀikˀ,,,,IE513,sakayan_armenian_2015,
mMM,tˀatˀ,,,,IE513,sakayan_armenian_2015,
mMM,tˀatˀikˀ,,,,IE513,sakayan_armenian_2015,
mSS,tʰor̃(nikˀ),,,,IE513,sakayan_armenian_2015,
mSD,(aɣǰikˀ) tʰor̃,,,,IE513,sakayan_armenian_2015,
mDS,tʰor̃(nikˀ),,,,IE513,sakayan_armenian_2015,
mDD,(aɣǰikˀ) tʰor̃,,,,IE513,sakayan_armenian_2015,
mFB,horyeɣbayr,,,,IE513,sakayan_armenian_2015,
mFZ,horakʰuyr,,,,IE513,sakayan_armenian_2015,
mMB,kʰer̃i,,,,IE513,sakayan_armenian_2015,
mMB,moryeɣbayr,,,,IE513,sakayan_armenian_2015,
mMZ,morakʰuyr,,,,IE513,sakayan_armenian_2015,
mBS,yeɣborordi,,,,IE513,sakayan_armenian_2015,
mBS,kʰroǰordi,,,,IE513,sakayan_armenian_2015,
mBD,yeɣbor aɣǰikˀ,,,,IE513,sakayan_armenian_2015,
mBD,kʰroǰ aɣǰikˀ,,,,IE513,sakayan_armenian_2015,
mZS,yeɣborordi,,,,IE513,sakayan_armenian_2015,
mZS,kʰroǰordi,,,,IE513,sakayan_armenian_2015,
mZD,yeɣbor aɣǰikˀ,,,,IE513,sakayan_armenian_2015,
mZD,kʰroǰ aɣǰikˀ,,,,IE513,sakayan_armenian_2015,
mFZD,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mFZD,zarmuhi,,,,IE513,sakayan_armenian_2015,
mFBD,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mFBD,zarmuhi,,,,IE513,sakayan_armenian_2015,
mMBD,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mMBD,zarmuhi,,,,IE513,sakayan_armenian_2015,
mMZD,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mMZD,zarmuhi,,,,IE513,sakayan_armenian_2015,
mFBS,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mFBS,zarmuhi,,,,IE513,sakayan_armenian_2015,
mFZS,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mFZS,zarmuhi,,,,IE513,sakayan_armenian_2015,
mMBS,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mMBS,zarmuhi,,,,IE513,sakayan_armenian_2015,
mMZS,zarmikˀ,,,,IE513,sakayan_armenian_2015,
mMZS,zarmuhi,,,,IE513,sakayan_armenian_2015,
mH,amusin,,,,IE513,sakayan_armenian_2015,
mW,kˀin,,,,IE513,sakayan_armenian_2015,
mHF,skˀesrayr,,,,IE513,sakayan_armenian_2015,
mHM,skˀesur,,,,IE513,sakayan_armenian_2015,
mWF,aner,,,,IE513,sakayan_armenian_2015,
mWM,zokʰančʰ,,,,IE513,sakayan_armenian_2015,
mSW,hars,,,,IE513,sakayan_armenian_2015,
mSW,hars,,,,IE513,sakayan_armenian_2015,
mDH,pʰesa,,,,IE513,sakayan_armenian_2015,
mDH,pʰesa,,,,IE513,sakayan_armenian_2015,
fG,kʰuyr-yeɣbayr,,,,IE513,sakayan_armenian_2015,
fB,yeɣbayr,,,,IE513,sakayan_armenian_2015,
fZ,kʰuyr,,,,IE513,sakayan_armenian_2015,
fyB,kˀ[ə]rtˀser yeɣbayr,,,,IE513,sakayan_armenian_2015,
fyB,pʰokʰr yeɣbayr,,,,IE513,sakayan_armenian_2015,
fyZ,kˀ[ə]rtˀser kʰuyr,,,,IE513,sakayan_armenian_2015,
fyZ,pʰokʰ[ə]r kʰuyr,,,,IE513,sakayan_armenian_2015,
fF,hayr,,,,IE513,sakayan_armenian_2015,
fM,mayr,,,,IE513,sakayan_armenian_2015,
fC,zavakˀ,,,,IE513,sakayan_armenian_2015,
