parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,woc̄ec̄i,,,,ND8,khalilov_andi_2015,воццецци
mB,woc̄i,,,,ND8,khalilov_andi_2015,воцци
mZ,yec̄i,,,,ND8,khalilov_andi_2015,йецци
mZ,yoc̄i,,,,ND8,khalilov_andi_2015,йоцци
myB,mičʼi woc̄i,,,,ND8,khalilov_andi_2015,мичІи воцци
myZ,mičʼi yec̄i (yoc̄i),,,,ND8,khalilov_andi_2015,мичІи йецци (йоцци)
mF,ima,,,,ND8,khalilov_andi_2015,има
mM,ila,,,,ND8,khalilov_andi_2015,ила
mC,močʼil,,,,ND8,khalilov_andi_2015,мочІил
mS,wošo,,,,ND8,khalilov_andi_2015,вошо
mD,yeši,,,,ND8,khalilov_andi_2015,йеши
mFF,wočʼuxa ima,,,,ND8,khalilov_andi_2015,вочІуха има
mFM,nečʼuxaila,,,,ND8,khalilov_andi_2015,нечІухаила
mMF,wočʼuxa ima,,,,ND8,khalilov_andi_2015,вочІуха има
mMM,nečʼuxaila,,,,ND8,khalilov_andi_2015,нечІухаила
mSS,wošuw wošo,,,,ND8,khalilov_andi_2015,вошув вошо
mSS,yešuƛi wošo,,,,ND8,khalilov_andi_2015,йешулІи вошо
mSD,wošuy yeši,,,,ND8,khalilov_andi_2015,вошуй йеши
mSD,yešuƛi yeši,,,,ND8,khalilov_andi_2015,йешулІи йеши
mDS,wošuw wošo,,,,ND8,khalilov_andi_2015,вошув вошо
mDS,yešuƛi wošo,,,,ND8,khalilov_andi_2015,йешулІи вошо
mDD,wošuy yeši,,,,ND8,khalilov_andi_2015,вошуй йеши
mDD,yešuƛi yeši,,,,ND8,khalilov_andi_2015,йешулІи йеши
mFB,imuy woc̄i,,,,ND8,khalilov_andi_2015,имуй воцци
mFZ,imuy yoc̄i (yec̄i),,,,ND8,khalilov_andi_2015,имуй йоцци (йецци)
mMB,iluƛi woc̄i,,,,ND8,khalilov_andi_2015,илулІи воцци
mMZ,iluƛi yoc̄i (yec̄i),,,,ND8,khalilov_andi_2015,илулІи йоцци (йецци)
mBS,woc̄uw wošo,,,,ND8,khalilov_andi_2015,воццув вошо
mBS,yec̄uƛi wošo,,,,ND8,khalilov_andi_2015,йеццулІи вошо
mBD,woc̄uy yeši,,,,ND8,khalilov_andi_2015,воццуй йеши
mBD,yec̄uƛi yeši,,,,ND8,khalilov_andi_2015,йеццулІи йеши
mZS,woc̄uw wošo,,,,ND8,khalilov_andi_2015,воццув вошо
mZS,yec̄uƛi wošo,,,,ND8,khalilov_andi_2015,йеццулІи вошо
mZD,woc̄uy yeši,,,,ND8,khalilov_andi_2015,воццуй йеши
mZD,yec̄uƛi yeši,,,,ND8,khalilov_andi_2015,йеццулІи йеши
mFZD,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mFZD,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mFBD,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mFBD,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mMBD,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mMBD,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mMZD,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mMZD,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mFBS,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mFBS,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mFZS,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mFZS,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mMBS,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mMBS,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mMZS,wacʔal,,,,ND8,khalilov_andi_2015,вацъал
mMZS,yacʔal,,,,ND8,khalilov_andi_2015,йацъал
mH,kuntʼa,,,,ND8,khalilov_andi_2015,кунтІа
mW,horč̄ʼi,,,,ND8,khalilov_andi_2015,гьорчІчІи
mHF,imaƛ̄ʼoro,,,,ND8,khalilov_andi_2015,имакьоро
mHM,ilaƛ̄ʼoro,,,,ND8,khalilov_andi_2015,илакьоро
mWF,imaƛ̄ʼoro,,,,ND8,khalilov_andi_2015,имакьоро
mWM,ilaƛ̄ʼoro,,,,ND8,khalilov_andi_2015,илакьоро
mSW,ixum,,,,ND8,khalilov_andi_2015,ихум
mSW,nusa,,,,ND8,khalilov_andi_2015,нуса
mDH,nuso,,,,ND8,khalilov_andi_2015,нусо
mDH,nuso,,,,ND8,khalilov_andi_2015,нусо
fG,woc̄ec̄i,,,,ND8,khalilov_andi_2015,воццецци
fB,woc̄i,,,,ND8,khalilov_andi_2015,воцци
fZ,yec̄i,,,,ND8,khalilov_andi_2015,йецци
fZ,yoc̄i,,,,ND8,khalilov_andi_2015,йоцци
fyB,mičʼi woc̄i,,,,ND8,khalilov_andi_2015,мичІи воцци
fyZ,mičʼi yec̄i (yoc̄i),,,,ND8,khalilov_andi_2015,мичІи йецци (йоцци)
fF,ima,,,,ND8,khalilov_andi_2015,има
fM,ila,,,,ND8,khalilov_andi_2015,ила
