parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,harəpihárə,,,harə (m.s.); či (w.s.),TP10(59),cormier_kinship_2003,"m-s:harapihiara, w-s:ikwitxiá"
mZ,haininawai,,,čikari (m.s.); harə (w.s.),TP10(59),cormier_kinship_2003,"m-s:hainawãi, w-s:harapihiara"
mF,tu,,,čipa,TP10(59),cormier_kinship_2003,"m-s: tu, w-s:tu"
mM,ɨhi,,,amã,TP10(59),cormier_kinship_2003,"m-s: ihí, w-s: ihí"
mS,mɨmɨrə,,,"ta'ira, atɨ (m.s.); tači (w.s.)",TP10(59),cormier_kinship_2003,"m-s:taíra, w-s:mymyra"
mD,mɨmɨrə,,,tai'ra (m.s.); čikari (m. & w.s.),TP10(59),cormier_kinship_2003,"m-s: tayra, w-s: mymyra"
mFF,tamə,,,"čipa-te, čipa-tamə",TP10(59),cormier_kinship_2003,"m-s: tãmy, w-s: tãmy"
mFM,iari,,,amã-čia-te,TP10(59),cormier_kinship_2003,"m-s:jarí, w-s:jarí"
mMF,tamə,,,"čipa-te, čipa-tamə",TP10(59),cormier_kinship_2003,"m-s: tãmy, w-s: tãmy"
mMM,iari,,,amã-čia-te,TP10(59),cormier_kinship_2003,"m-s:jarí, w-s:jarí"
mSS,haminaminu,,,"harəwaminu, harəiraira (m.s.)",TP10(59),cormier_kinship_2003,w-s:hatxa'á
mSD,haminaminu,,,harəwaminu (m.s.),TP10(59),cormier_kinship_2003,w-s:hamiarú
mDS,haminaminu,,,"harəwaminu, harəiraira (m.s.)",TP10(59),cormier_kinship_2003,w-s:hatxa'á
mDD,haminaminu,,,harəwaminu (m.s.),TP10(59),cormier_kinship_2003,w-s:hamiarú
mFeB,tu-na,,,tunawana (m.s.); čipa,TP10(59),cormier_kinship_2003,tuná
mFyB,tu-na,,,tunawana (m.s.); čipa,TP10(59),cormier_kinship_2003,tuná
mFeZ,yahɨ,,,"amã, čikari (m.s.); čiá (w.s.)",TP10(59),cormier_kinship_2003,
mFyZ,yahɨ,,,"amã, čikari (m.s.); čiá (w.s.)",TP10(59),cormier_kinship_2003,
mMeZ,ɨhi-na,,,amã,TP10(59),cormier_kinship_2003,ihíná
mMyZ,ɨhi-na,,,amã,TP10(59),cormier_kinship_2003,ihíná
mMeB,harəwaiya,,,čiá (m.s.); čipa'i (w.s.),TP10(59),cormier_kinship_2003,imẽna
mMyB,harəwaiya,,,čiá (m.s.); čipa'i (w.s.),TP10(59),cormier_kinship_2003,imẽna
meBS,mɨmɨrə,,,atɨ (m.s.); či (w.s.),TP10(59),cormier_kinship_2003,m-s:taíra
myBS,mɨmɨrə,,,atɨ (m.s.); či (w.s.),TP10(59),cormier_kinship_2003,m-s:taíra
meBD,mɨmɨrə,,,čikari (m.s.); čiá (w.s.),TP10(59),cormier_kinship_2003,"m-s:tayra, w-s: mymyra"
myBD,mɨmɨrə,,,čikari (m.s.); čiá (w.s.),TP10(59),cormier_kinship_2003,"m-s:tayra, w-s: mymyra"
meZS,harəwaiya,,,čiá (m.s.); tači (w.s.),TP10(59),cormier_kinship_2003,m-s:hawajá
myZS,harəwaiya,,,čiá (m.s.); tači (w.s.),TP10(59),cormier_kinship_2003,m-s:hawajá
meZD,emeriko,,,"čiku, čia'ə (m.s.); čikari (w.s.)",TP10(59),cormier_kinship_2003,"m-s:imirikô, w-s: mymyra"
myZD,emeriko,,,"čiku, čia'ə (m.s.); čikari (w.s.)",TP10(59),cormier_kinship_2003,"m-s:imirikô, w-s: mymyra"
mFZD,ɨhi-na,,,"emeriko, ãma, čikari (m.s.); amã, harə (w.s.)",TP10(59),cormier_kinship_2003,m-s:ihí
mFBD,haininawai,,,čikari (m.s.); harə (w.s.),TP10(59),cormier_kinship_2003,
mMBD,emeriko,,,"čiku, čia'ə (m.s.)",TP10(59),cormier_kinship_2003,"m-s:imirikô, w-s: mymyra"
mMZD,haininawai,,,čikari (m.s.); harə (w.s.),TP10(59),cormier_kinship_2003,
mFBS,harəpihárə,,,harə (m.s.); či (w.s.),TP10(59),cormier_kinship_2003,
mFZS,harəwaiya,,,čiá (m.s.),TP10(59),cormier_kinship_2003,"m-s:hawajá, w-s:imẽna"
mMBS,harəwaiya,,,"čiá (m.s.); tači, čipa'i, iménə (w.s.)",TP10(59),cormier_kinship_2003,"m-s:hawajá, w-s:imẽna"
mMZS,harəpiana,,,"atɨ, harə (m.s.); či (w.s.)",TP10(59),cormier_kinship_2003,
mW,emeriko,,,,TP10(59),cormier_kinship_2003,m-s:imirikô
fB,ikuwɨčiá,,,harə (m.s.); či (w.s.),TP10(59),cormier_kinship_2003,"m-s:harapihiara, w-s:ikwitxiá"
fZ,harəpihárə,,,čikari (m.s.); harə (w.s.),TP10(59),cormier_kinship_2003,"m-s:hainawãi, w-s:harapihiara"
fF,tu,,,čipa,TP10(59),cormier_kinship_2003,"m-s: tu, w-s:tu"
fM,ɨhi,,,amã,TP10(59),cormier_kinship_2003,"m-s: ihí, w-s: ihí"
fS,mɨmɨrə,,,"ta'ira, atɨ (m.s.); tači (w.s.)",TP10(59),cormier_kinship_2003,"m-s:taíra, w-s:mymyra"
fD,mɨmɨrə,,,tai'ra (m.s.); čikari (m. & w.s.),TP10(59),cormier_kinship_2003,"m-s: tayra, w-s: mymyra"
fFF,tamə,,,"čipa-te, čipa-tamə",TP10(59),cormier_kinship_2003,"m-s: tãmy, w-s: tãmy"
fFM,iari,,,amã-čia-te,TP10(59),cormier_kinship_2003,"m-s:jarí, w-s:jarí"
fMF,tamə,,,"čipa-te, čipa-tamə",TP10(59),cormier_kinship_2003,"m-s: tãmy, w-s: tãmy"
fMM,iari,,,amã-čia-te,TP10(59),cormier_kinship_2003,"m-s:jarí, w-s:jarí"
fSS,hanimiaru,,,"harəwaminu, harəiraira (m.s.)",TP10(59),cormier_kinship_2003,w-s:hatxa'á
